alpha,eta,cv,perplexity
symmetric,0.01,0.5100880846934238,3979.8116644108873
0.01,0.01,0.5091944235222938,4030.9084854401985
0.1,0.01,0.5079987461763333,3992.379535277748
0.01,,0.5062053447184686,3429.484265074999
symmetric,,0.5059937340412877,3427.5294250516904
0.1,,0.5059181252979281,3448.3646248012988
0.5,0.01,0.5018816354076946,4219.577163308027
0.01,0.1,0.50018194952953,3302.773534267875
asymmetric,0.01,0.49937220865553417,3962.7387718097893
0.1,0.1,0.49927939858888515,3329.873925188775
0.5,,0.49920875043851287,3634.6666249264745
symmetric,0.1,0.49848535773241326,3304.3637348292727
asymmetric,0.1,0.49707833624336334,3295.304127440727
0.5,0.1,0.4967725423059151,3518.295942354227
asymmetric,,0.4966588683587971,3419.194381371823
