strategy,threshold,n_seeds,K,outlier_post,C_v,Diversity,Exclus,FREX,Stability,Stab_std
c-tf-idf,0.0,1,25.0,0.0,0.4658,0.908,0.7228,0.9796,,
c-tf-idf,0.05,1,24.0,0.1324,0.5249,0.9021,0.7617,0.9826,,
c-tf-idf,0.1,1,24.0,0.2284,0.5598,0.9042,0.7669,0.9849,,
c-tf-idf,0.15,1,24.0,0.2587,0.5819,0.9,0.7699,0.9853,,
c-tf-idf,0.2,1,24.0,0.268,0.5947,0.9021,0.7715,0.9854,,
c-tf-idf,0.3,1,24.0,0.2751,0.5732,0.9021,0.7742,0.9855,,
distributions,0.0,1,25.0,0.0,0.4772,0.908,0.7192,0.9797,,
distributions,0.05,1,24.0,0.0234,0.5517,0.9125,0.7551,0.9797,,
distributions,0.1,1,24.0,0.1029,0.5487,0.9146,0.7628,0.9815,,
distributions,0.15,1,24.0,0.1628,0.5724,0.9062,0.7668,0.9828,,
distributions,0.2,1,24.0,0.1999,0.5679,0.9,0.7592,0.9837,,
distributions,0.3,1,24.0,0.2396,0.5738,0.9042,0.772,0.9848,,
embeddings,0.0,1,25.0,0.0,0.4408,0.872,0.6871,0.9792,,
embeddings,0.2,1,25.0,0.0,0.4408,0.872,0.6871,0.9792,,
embeddings,0.3,1,25.0,0.0,0.4408,0.872,0.6871,0.9792,,
embeddings,0.4,1,25.0,0.0,0.4408,0.872,0.6871,0.9792,,
embeddings,0.5,1,24.0,0.0005,0.5729,0.9042,0.7573,0.9786,,
embeddings,0.6,1,24.0,0.0072,0.5461,0.9062,0.7604,0.9789,,
embeddings,0.7,1,24.0,0.0536,0.5528,0.9021,0.7646,0.9802,,
embeddings,0.8,1,24.0,0.2045,0.573,0.8979,0.7677,0.984,,
embeddings,0.9,1,24.0,0.2784,0.5547,0.9021,0.7737,0.9857,,
probabilities,0.0,1,25.0,0.0,0.4357,0.894,0.6892,0.9797,,
probabilities,0.05,1,24.0,0.1763,0.5776,0.8917,0.7618,0.9827,,
probabilities,0.1,1,24.0,0.2541,0.55,0.8917,0.765,0.9848,,
probabilities,0.15,1,24.0,0.2713,0.5509,0.9,0.7695,0.9852,,
probabilities,0.2,1,24.0,0.2749,0.5501,0.9,0.7713,0.9853,,
probabilities,0.3,1,24.0,0.2778,0.5523,0.9,0.7708,0.9854,,
